"All Fuel Types
All Sectors
Millions of metric tons (Mt) CO2 ",,,,,Extracting Regions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Producing Regions,Imports of Extraction Emissions,Exports of Extraction Emissions,Total Production,Net Trade of Extraction Emissions,Australia,New Zealand,Rest of Oceania,China,Hong Kong,Japan,Korea,Taiwan,Rest of East Asia,Cambodia,Indonesia,Lao People's Democratic Republic,Malaysia,Philippines,Singapore,Thailand,Vietnam,Rest of Southeast Asia,Bangladesh,India,Pakistan,Sri Lanka,Rest of South Asia,Canada,United States of America,Mexico,Rest of North America,Argentina,Bolivia,Brazil,Chile,Colombia,Ecuador,Paraguay,Peru,Uruguay,Venezuela,Rest of South America,Costa Rica,Guatemala,Nicaragua,Panama,Rest of Central America,Caribbean,Austria,Belgium,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Ireland,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Poland,Portugal,Slovakia,Slovenia,Spain,Sweden,United Kingdom,Switzerland,Norway,Rest of EFTA,Albania,Bulgaria,Belarus,Croatia,Romania,Russian Federation,Ukraine,Rest of Eastern Europe,Rest of Europe,Kazakhstan,Kyrgyzstan,Rest of Former Soviet Union,Armenia,Azerbaijan,Georgia,"Iran, Islamic Republic of",Turkey,Rest of Western Asia,Egypt,Morocco,Tunisia,Rest of North Africa,Nigeria,Senegal,Rest of Western Africa,Rest of Central Africa,Rest of South Central Africa,Ethiopia,Madagascar,Malawi,Mauritius,Mozambique,Tanzania,Uganda,Zambia,Zimbabwe,Rest of Eastern Africa,Botswana,South Africa,Rest of South African Customs Union 
Albania,4.13,0.00,5.33,4.12,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.03,0.00,1.20,0.00,0.00,0.06,0.06,1.26,0.09,0.00,0.00,0.10,0.00,0.10,0.00,0.10,0.00,0.75,0.00,1.11,0.00,0.00,0.00,0.23,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00
Bulgaria,28.44,0.67,47.66,27.77,2.31,0.00,0.01,0.14,0.00,0.00,0.00,0.00,0.01,0.01,0.05,0.00,0.05,0.00,0.00,0.00,0.35,0.01,0.00,0.00,0.00,0.00,0.00,0.63,1.27,0.02,0.00,0.07,0.02,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.01,0.00,0.00,0.01,0.22,0.00,0.00,0.00,0.02,0.01,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.04,0.01,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.09,0.00,0.00,19.21,0.00,0.02,0.52,15.42,3.04,0.00,0.01,0.67,0.00,0.33,0.00,1.16,0.01,0.46,0.01,0.41,0.15,0.00,0.02,0.17,0.06,0.00,0.01,0.05,0.01,0.00,0.02,0.01,0.03,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.01,0.02
Belarus,55.74,3.91,60.38,51.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.03,0.00,0.00,0.00,4.64,0.00,0.00,55.31,0.02,0.00,0.00,0.05,0.00,0.03,0.00,0.00,0.00,0.02,0.00,0.05,0.00,0.00,0.00,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.01
Croatia,16.33,1.25,22.56,15.07,0.10,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.77,0.03,0.00,0.00,0.00,0.00,0.00,0.23,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.03,0.01,0.00,0.00,0.00,0.02,0.00,0.13,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.07,0.00,0.00,0.01,0.00,6.24,0.34,9.09,0.14,0.00,0.08,1.51,0.00,0.00,0.00,0.74,0.00,0.06,0.00,1.12,0.00,0.00,0.01,0.32,0.03,0.00,0.01,0.01,0.01,0.00,0.01,0.00,0.02,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.26,0.01
Romania,37.32,4.62,97.72,32.70,0.11,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.74,0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.01,0.00,0.06,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.06,0.00,0.00,0.04,0.05,0.00,60.41,21.49,1.66,0.00,0.00,8.37,0.00,1.94,0.00,1.58,0.00,0.08,0.01,0.19,0.00,0.00,0.00,0.08,0.02,0.00,0.00,0.01,0.01,0.00,0.01,0.01,0.02,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.01,0.01
Russian Federation,43.29,1471.38,1611.74,-1428.09,0.37,0.00,0.01,0.13,0.00,0.00,0.00,0.00,0.01,0.00,0.03,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.08,0.01,0.00,0.01,0.00,0.01,0.00,0.20,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.03,0.02,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.00,0.00,0.00,0.10,0.00,0.00,1568.44,0.08,0.00,0.00,41.63,0.00,0.05,0.00,0.01,0.00,0.05,0.01,0.11,0.03,0.00,0.00,0.04,0.01,0.00,0.00,0.01,0.01,0.00,0.01,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.03,0.00
Ukraine,167.52,20.39,308.00,147.13,0.04,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.04,0.02,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.07,0.00,0.00,0.01,0.13,0.00,0.00,101.76,140.49,0.00,0.00,5.73,0.00,58.83,0.00,0.03,0.00,0.07,0.01,0.17,0.01,0.00,0.00,0.06,0.03,0.00,0.00,0.01,0.01,0.00,0.04,0.02,0.06,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.01,0.03
Rest of Eastern Europe,7.95,0.00,7.99,7.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.16,3.55,0.87,0.04,0.00,3.25,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Rest of Europe,24.24,0.71,80.14,23.53,0.22,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.40,0.34,0.00,0.00,0.00,0.01,0.00,0.18,0.02,0.00,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.03,0.16,0.00,0.00,0.00,0.05,0.14,0.06,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.03,0.01,0.25,0.00,0.86,0.00,0.00,0.08,0.00,0.17,0.18,15.73,0.35,0.00,55.90,0.95,0.00,0.02,0.00,0.17,0.00,0.46,0.05,1.44,0.01,0.00,0.03,0.80,0.25,0.00,0.02,0.13,0.05,0.00,0.02,0.01,0.02,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.08,0.01
Kazakhstan,18.67,204.44,176.52,-185.77,0.01,0.00,0.00,0.55,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,12.09,0.11,0.00,0.00,157.84,0.00,5.34,0.00,0.04,0.00,0.04,0.00,0.17,0.00,0.00,0.00,0.03,0.01,0.00,0.00,0.01,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00
Kyrgyzstan,4.92,0.07,5.79,4.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.96,0.00,0.00,0.00,2.96,0.87,0.96,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Rest of Former Soviet Union,4.83,97.92,197.84,-93.09,0.02,0.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.03,0.10,0.01,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.04,0.00,0.00,0.00,0.01,0.00,0.00,1.58,0.16,0.00,0.01,1.51,0.03,193.01,0.00,0.03,0.00,0.62,0.01,0.17,0.01,0.00,0.00,0.05,0.02,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00
Armenia,3.75,0.00,3.77,3.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.13,0.04,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,1.92,0.01,0.00,0.00,0.70,0.00,0.00,0.01,0.00,0.00,0.71,0.00,0.08,0.00,0.00,0.00,0.01,0.02,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Azerbaijan,9.96,33.37,34.61,-23.41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.58,0.00,0.00,0.00,7.36,0.00,1.96,0.00,24.65,0.00,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Georgia,3.70,0.20,3.82,3.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.12,1.70,0.03,0.00,0.00,0.49,0.00,0.18,0.00,1.07,0.12,0.02,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Iran, Islamic Republic of",31.51,396.04,431.85,-364.53,0.96,0.00,0.00,0.41,0.00,0.00,0.00,0.00,0.01,0.03,0.14,0.00,0.21,0.00,0.00,0.01,0.08,0.05,0.00,1.49,0.00,0.00,0.00,0.35,0.16,0.07,0.01,0.14,0.08,0.48,0.00,0.01,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,0.00,0.20,0.00,0.25,0.00,0.00,0.00,0.00,0.00,0.04,6.91,0.04,0.00,0.00,1.43,0.00,3.29,0.00,0.64,0.00,400.34,0.03,11.70,0.13,0.00,0.01,0.37,1.12,0.00,0.00,0.20,0.02,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.03,0.00,0.01,0.00
Turkey,166.60,1.47,215.42,165.13,2.44,0.00,0.02,4.25,0.00,0.00,0.00,0.00,0.01,0.02,0.44,0.00,0.08,0.00,0.00,0.00,0.01,0.02,0.00,0.01,0.00,0.00,0.01,2.37,3.43,0.12,0.00,0.12,0.03,0.01,0.00,3.24,0.01,0.00,0.00,0.00,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.01,0.00,0.00,0.01,0.06,0.00,0.00,0.01,0.02,0.01,0.00,0.00,0.15,0.00,0.00,0.00,0.00,0.04,0.07,0.00,0.00,0.00,0.01,0.00,0.37,0.00,1.82,0.05,0.00,0.02,0.03,0.03,0.74,42.54,1.31,0.00,0.02,2.17,0.01,0.72,0.00,0.86,0.01,14.07,48.82,20.04,0.26,0.00,0.05,55.68,0.23,0.00,0.04,0.14,0.05,0.00,0.06,0.03,0.09,0.02,0.00,0.11,0.00,0.00,0.01,0.00,7.17,0.05
Rest of Western Asia,72.00,2297.75,1050.94,-2225.76,3.22,0.00,0.01,0.62,0.00,0.00,0.00,0.00,0.01,0.01,0.14,0.00,0.11,0.00,0.00,0.03,0.10,0.02,0.00,0.68,0.01,0.00,0.01,0.31,1.92,0.67,0.00,0.03,0.00,0.40,0.00,9.12,0.07,0.00,0.00,0.00,0.64,0.00,0.00,0.01,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.01,0.12,0.00,0.00,0.03,0.03,0.01,0.01,0.00,0.28,0.00,0.00,0.00,0.00,0.01,0.04,0.00,0.00,0.00,0.01,0.00,0.67,0.07,1.14,0.07,0.00,0.13,0.01,0.07,0.49,11.40,0.34,0.00,0.13,1.60,0.00,0.19,0.00,1.69,0.00,7.33,0.64,978.94,3.07,0.00,0.06,3.24,0.91,0.00,0.09,0.23,0.24,0.00,0.02,0.01,0.03,0.00,0.00,0.04,0.00,0.02,0.09,0.00,19.20,0.02
Egypt,11.15,26.77,148.20,-15.62,0.10,0.00,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.32,2.51,0.02,0.00,0.03,0.00,0.14,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.03,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.12,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.61,137.05,0.00,0.00,6.52,0.08,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00
Morocco,37.27,0.01,37.50,37.26,0.08,0.00,0.01,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,1.49,0.26,0.00,0.02,0.00,0.01,0.00,2.17,0.01,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.01,1.05,0.00,0.00,0.00,0.03,0.00,0.51,0.00,0.70,0.00,0.00,0.00,0.00,0.00,0.00,4.83,0.55,0.00,0.00,0.20,0.00,0.01,0.00,0.04,0.00,3.55,0.00,11.20,0.08,0.23,0.03,1.51,0.62,0.00,0.02,0.12,0.07,0.00,0.02,0.01,0.03,0.00,0.00,0.03,0.00,0.00,0.00,0.00,7.13,0.02
Tunisia,13.68,7.81,22.50,5.86,0.04,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.01,0.04,0.12,0.00,0.00,0.00,0.01,0.00,0.04,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.01,0.00,0.12,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.04,2.95,0.23,0.00,0.00,0.27,0.00,0.03,0.00,0.14,0.00,0.53,0.01,1.56,0.04,0.00,8.82,6.26,0.18,0.00,0.06,0.10,0.03,0.00,0.01,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.08,0.00
Rest of North Africa,1.88,546.91,157.25,-545.04,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.01,0.52,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.03,0.00,0.00,0.00,0.01,0.00,0.00,0.15,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.01,0.00,0.11,0.00,0.19,0.00,0.00,0.00,155.37,0.01,0.00,0.01,0.01,0.00,0.00,0.03,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.02,0.00,0.01,0.01
Nigeria,21.38,370.30,55.04,-348.92,0.23,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.07,0.38,0.43,0.00,0.41,0.01,1.62,0.00,0.14,0.02,0.00,0.00,0.00,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.42,0.00,0.00,0.03,0.02,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.28,0.03,0.00,0.00,0.00,0.04,0.00,1.87,0.00,3.02,0.00,0.00,0.00,0.00,0.05,0.00,3.96,0.07,0.00,0.00,0.36,0.00,0.02,0.00,0.05,0.00,0.62,0.00,2.77,0.04,0.00,0.04,1.58,33.65,0.00,1.41,0.31,0.12,0.00,0.01,0.00,0.01,0.00,0.00,0.02,0.00,0.00,0.01,0.00,0.46,0.01
Senegal,5.07,0.00,5.12,5.07,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.05,0.04,0.07,0.00,0.00,0.01,0.00,0.01,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.22,0.00,0.00,0.00,0.03,0.00,0.00,0.48,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.12,0.00,0.04,0.00,0.30,0.01,0.00,0.00,0.09,3.01,0.05,0.03,0.03,0.03,0.00,0.01,0.00,0.01,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.03,0.01
Rest of Western Africa,15.21,21.04,26.92,-5.83,0.08,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.04,0.00,0.00,0.00,0.01,0.01,0.00,0.63,0.00,0.00,0.00,0.08,0.55,0.21,0.00,0.02,0.00,0.63,0.00,0.05,0.03,0.00,0.00,0.00,0.54,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.05,0.01,0.00,0.00,0.00,0.00,0.00,0.37,0.00,0.60,0.00,0.00,0.00,0.00,0.00,0.03,0.98,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.03,0.00,0.43,0.00,2.68,0.05,0.00,0.01,0.49,5.18,0.00,11.71,0.35,0.13,0.00,0.01,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.26,0.01
Rest of Central Africa,2.82,90.31,10.85,-87.49,0.02,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.15,0.04,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.01,0.00,0.17,0.00,0.50,0.01,0.00,0.00,0.10,0.36,0.00,0.42,8.03,0.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.00,0.00,0.33,0.00
Rest of South Central Africa,4.93,132.53,11.64,-127.60,0.07,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.02,0.28,0.12,0.00,0.22,0.00,0.06,0.00,0.02,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.29,0.00,0.42,0.00,0.00,0.00,0.01,0.00,0.00,0.46,0.00,0.00,0.00,0.14,0.00,0.01,0.00,0.01,0.00,0.29,0.00,0.91,0.01,0.00,0.01,0.32,0.22,0.00,0.07,0.38,6.71,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.31,0.00
